"build_time_min","deploy_time_min","commit_size_loc","num_bugs","test_coverage_pct","ticket_resolution_h","team","module","priority","deploy_status"
3.86,19.65,152,2,98.64,0.61,"Beta","ui","media","success"
5.31,24.86,135,1,95.1,10.29,"Beta","api","crítica","success"
29.18,11.15,144,3,90.28,26.91,"Delta","analytics","baja","success"
26.1,14.14,168,3,66.62,7.36,"Beta","auth","crítica","success"
6.31,36.99,142,2,73.83,3.86,"Beta","auth","baja","success"
27.06,13.42,137,0,86.15,1.56,"Alpha","database","baja","success"
7.7,22.58,159,3,65.69,20.43,"Alpha","analytics","baja","success"
5.27,7.78,155,1,80.19,6.24,"Beta","auth","media","success"
15.48,9.92,183,1,68.37,42.84,"Alpha","analytics","baja","failed"
29.07,6.74,152,3,57.37,18.72,"Gamma","database","media","success"
19.88,6.61,165,2,78.75,3.32,"Beta","analytics","crítica","success"
5.62,15.73,136,0,82.97,32.45,"Alpha","api","baja","success"
8.88,46.18,136,1,74.3,11.76,"Beta","auth","alta","success"
12.42,12.66,154,3,80.89,4.3,"Gamma","auth","baja","success"
7.54,56.82,142,1,54.07,83.28,"Alpha","ui","baja","success"
2.14,24.83,130,1,92.11,9.91,"Alpha","analytics","baja","success"
21.15,26.16,176,1,65.02,28.97,"Delta","auth","baja","success"
11.47,36.72,150,1,67.01,3.36,"Beta","ui","baja","failed"
21.58,10.26,154,2,61.33,NA,"Alpha","database","media","failed"
9.29,0.58,145,0,61.95,9.08,"Alpha","auth","crítica","success"
7.78,35.13,150,3,84.78,28.71,"Delta","api","baja","rolled_back"
21.54,21.88,152,1,62.36,27.63,"Alpha","database","baja","success"
37.1,54.9,155,1,69.41,21.46,"Gamma","ui","baja","success"
8.62,24.45,168,5,100,32.87,"Beta","database","baja","success"
7.14,11.32,159,2,63.58,21.12,"Gamma","ui","alta","success"
11.21,1.57,160,3,98.56,12.55,"Beta","auth","baja","failed"
10.7,14.42,131,2,70.48,38.71,"Delta","database","media","failed"
14.32,11.75,136,1,79.23,46.26,"Alpha","ui","media","success"
32.41,15.61,139,1,73.45,1.44,"Alpha","api","media","success"
28.04,28.79,142,1,57.44,3.61,"Alpha","analytics","media","success"
15.76,3.82,134,1,67.56,19.3,"Gamma","api","crítica","success"
5.19,16.34,136,1,91.77,5.72,"Beta","analytics","media","success"
54.06,28.36,161,2,80.35,3.68,"Delta","database","baja","failed"
15.76,8.35,119,2,91.67,4.72,"Alpha","auth","media","success"
19.59,2.8,147,2,80.49,6.08,"Gamma","database","baja","rolled_back"
7.38,0.88,148,1,97.83,1.7,"Delta","ui","baja","success"
7.08,22.36,135,1,70.65,21.27,"Gamma","auth","alta","success"
4.53,23.42,140,2,92.79,15.61,"Beta","ui","media","success"
10.24,10.15,152,3,NA,15.32,"Delta","analytics","media","success"
16.61,7.39,164,2,66.95,13.96,"Gamma","analytics","baja","success"
14.37,34.93,138,4,85.87,0.72,"Delta","analytics","alta","success"
3.75,18.02,148,0,84.36,8.29,"Beta","api","crítica","success"
18.31,25.93,158,2,55.17,3.21,"Delta","auth","alta","success"
24.08,17.39,154,4,73.71,64.75,"Gamma","api","media","success"
47.3,21.05,142,3,61.93,4.56,"Delta","ui","media","success"
15.86,17.84,150,2,88.08,30.86,"Beta","ui","baja","success"
13.07,23.94,146,0,65.47,0.24,"Delta","ui","alta","failed"
6.13,26.18,157,0,84.28,44.15,"Gamma","auth","baja","failed"
13.7,10.87,159,2,99.3,7.12,"Beta","ui","media","rolled_back"
4.93,13.19,169,2,90.25,21.03,"Delta","database","media","success"
6.36,101.25,144,2,72.51,1.74,"Alpha","api","media","success"
1.91,36.43,156,4,69.19,10.03,"Alpha","auth","crítica","success"
15.92,14.83,167,1,92.21,1.9,"Gamma","analytics","crítica","success"
13.23,26.37,148,3,62.18,25.57,"Delta","api","crítica","success"
23.95,3.59,155,4,55.48,8.51,"Delta","database","baja","success"
13.72,9.77,165,2,77.38,0.39,"Alpha","auth","media","success"
21.73,8.57,145,6,100,34.55,"Alpha","ui","alta","success"
17.6,5.14,151,2,87.01,3.8,"Alpha","database","alta","success"
6.69,33.98,139,0,72.36,2.31,"Gamma","auth","baja","success"
16.3,4.8,176,1,52.05,14.71,"Alpha","auth","crítica","success"
14.03,22.27,151,0,79.25,28.14,"Gamma","database","media","failed"
45.9,15.1,159,1,53.76,2.54,"Delta","api","media","success"
21.29,5.76,137,2,79.03,6.73,"Delta","api","media","success"
24.8,23.22,153,3,81.72,4.3,"Alpha","database","crítica","success"
22.02,42.48,165,0,NA,20.89,"Alpha","database","baja","success"
26.06,21.41,130,3,54.8,2.32,"Delta","api","media","success"
23.32,31.02,158,2,70.41,13.17,"Gamma","database","alta","success"
32.62,13.63,150,1,84.09,6.68,"Gamma","database","baja","success"
7.05,7.65,149,2,89.2,15.64,"Alpha","ui","alta","success"
32.84,21.61,156,3,83.4,12.96,"Gamma","auth","media","success"
15.77,59.33,163,1,62.83,4.3,"Beta","api","crítica","success"
22.35,5.11,161,0,69.53,5.29,"Alpha","auth","baja","success"
10.45,23.94,147,4,65.86,5.5,"Beta","analytics","media","rolled_back"
16.25,13.87,151,3,82.09,0.83,"Alpha","auth","media","success"
12.39,19,127,1,94.17,11.24,"Delta","auth","media","success"
13.2,7.62,153,2,95.74,19.07,"Beta","auth","baja","success"
11.13,11.77,160,3,63.78,17.29,"Beta","api","baja","success"
21.92,30.26,155,3,74.77,61.1,"Beta","api","baja","failed"
15.52,13.07,148,1,79.45,6.98,"Beta","ui","baja","success"
7.21,7.9,148,1,69.5,14.49,"Beta","api","baja","success"
17,24.52,151,1,76.33,2.03,"Alpha","api","alta","success"
19.78,15.09,156,5,100,11.46,"Gamma","ui","alta","success"
13.88,32.88,122,2,72.91,23.04,"Gamma","api","crítica","success"
6.75,35.42,149,1,87.09,18.42,"Delta","api","baja","success"
26.02,10.52,171,1,94.45,26.74,"Beta","analytics","media","failed"
11.3,18.09,161,2,65.47,18.75,"Beta","database","crítica","success"
12.81,12.13,155,1,76.91,33.61,"Beta","api","baja","rolled_back"
17.06,1.55,159,2,94.13,47.28,"Gamma","analytics","alta","success"
8.65,19.18,122,2,98.07,5.45,"Alpha","ui","baja","success"
15.56,9.61,145,3,79.71,8.59,"Beta","database","media","success"
24.14,1.72,146,0,59.79,0.64,"Beta","database","crítica","success"
11.98,8.4,163,1,78.04,11.91,"Beta","database","media","failed"
13.19,17.48,151,4,77.66,1.95,"Gamma","ui","alta","success"
12.41,5.17,145,1,79.25,0.96,"Delta","api","alta","success"
23.67,56.54,167,1,90.47,40.54,"Delta","auth","baja","success"
9,8.16,139,2,87.76,13.1,"Gamma","database","baja","success"
10.77,14.48,146,2,95.36,14.47,"Alpha","analytics","media","success"
6.25,24.36,142,3,80.73,27.37,"Beta","database","media","success"
35.75,64.14,133,1,80.42,29.27,"Gamma","analytics","alta","failed"
19.17,28.71,143,3,73.04,0.95,"Alpha","auth","crítica","success"
8.94,28.75,157,1,59.04,4.85,"Alpha","ui","alta","success"
21.27,7.61,151,1,38.28,14.36,"Delta","analytics","baja","success"
2.73,49.14,154,1,63.4,0.03,"Gamma","api","media","success"
8.48,24.66,156,2,62.17,19.68,"Beta","analytics","alta","success"
6.13,24.51,146,0,72.1,7.69,"Gamma","database","media","success"
24.2,37.66,157,2,79.21,48.39,"Beta","api","baja","success"
14.36,26,163,2,98.67,0.19,"Gamma","api","baja","success"
4.94,16.97,149,4,70.77,10.05,"Delta","auth","media","success"
24.44,24.74,159,2,53.44,10.64,"Delta","auth","alta","success"
4.55,41.66,146,1,73.58,25.67,"Alpha","api","media","success"
17.04,2.33,156,6,100,1.59,"Delta","analytics","baja","rolled_back"
17.65,8.39,149,4,90.49,7.58,"Beta","auth","baja","success"
13.15,19.93,150,4,78.27,5.11,"Alpha","auth","crítica","failed"
5.22,6.94,163,1,68.32,24.24,"Beta","database","baja","success"
6.95,117.65,151,2,78.66,4.68,"Beta","auth","baja","success"
8.23,30.85,171,2,81.74,5.55,"Gamma","ui","baja","success"
3.89,18.06,165,1,57.36,18.35,"Alpha","ui","media","success"
8.63,10.23,165,2,69.76,29.69,"Delta","ui","alta","success"
11.92,14.7,151,3,66.94,0.42,"Alpha","database","baja","rolled_back"
14.64,24.72,129,2,71.99,21.72,"Alpha","auth","baja","success"
19.72,14.47,159,2,59.79,13.65,"Alpha","ui","media","success"
17.28,7.09,137,3,89.06,10.19,"Delta","database","crítica","failed"
13.91,18.3,148,1,94.87,7.09,"Alpha","auth","media","success"
25.8,20.2,142,2,64.51,8.52,"Beta","analytics","baja","failed"
16.73,17.61,149,2,82.13,10.97,"Alpha","api","baja","success"
18.58,12.08,156,1,75.75,26.52,"Delta","ui","alta","success"
15.1,34.24,138,3,96.26,3.23,"Beta","ui","baja","failed"
9.67,31.5,135,1,52.9,6.31,"Alpha","analytics","media","success"
7.52,36.7,167,0,70.2,2.91,"Alpha","api","media","success"
29.15,29.07,158,5,61.6,2.35,"Beta","ui","alta","failed"
11.67,11.53,142,3,79.27,15.6,"Gamma","ui","baja","success"
19.6,4.39,147,2,72.11,1.76,"Delta","analytics","baja","success"
14.95,43.41,154,4,73.95,0.23,"Alpha","database","alta","success"
15.66,15.05,158,1,77.82,19.66,"Delta","analytics","media","success"
16.77,35.24,147,6,71.57,13,"Beta","database","alta","success"
11.19,14.99,123,0,75.81,10.03,"Gamma","database","alta","success"
6.39,44.12,149,1,79.03,27.38,"Gamma","api","media","success"
17.04,9.47,125,0,67.95,6.03,"Delta","database","crítica","success"
9.64,13.09,140,0,75.56,8.08,"Beta","auth","baja","success"
16.08,21.08,179,4,69.02,41.89,"Gamma","api","baja","success"
15.62,5.33,150,2,74.27,19.81,"Delta","ui","media","success"
6.48,11.8,167,1,89.62,8.88,"Alpha","auth","media","success"
10.72,2.32,172,0,75.91,6.99,"Gamma","ui","baja","success"
47.61,6.52,141,3,99.3,4.65,"Alpha","ui","alta","failed"
4.75,5.32,143,2,76.93,19.87,"Alpha","api","baja","success"
8.17,12.43,129,3,98.39,4.29,"Beta","api","baja","success"
11.76,14.2,151,0,60.67,16.7,"Alpha","database","media","success"
16.66,9.64,159,3,82.43,9.64,"Alpha","api","baja","failed"
15.68,7.41,154,0,56.98,32.12,"Alpha","api","media","success"
8.89,21.92,158,2,77.35,4.13,"Alpha","analytics","baja","success"
7.93,1.3,140,4,76.97,18.06,"Delta","auth","media","success"
11.55,26.14,160,2,91.94,55.42,"Gamma","ui","media","failed"
16.42,16.6,159,1,74.55,10.73,"Gamma","auth","baja","success"
22.04,9.3,169,1,75.98,25.63,"Gamma","analytics","baja","success"
16.69,21.02,157,0,64.8,32.44,"Alpha","auth","baja","success"
6.14,17.27,157,3,88.18,16.92,"Beta","ui","media","success"
9.16,13.09,166,2,97.28,NA,"Beta","api","baja","failed"
24.84,13.85,153,2,69.77,29.35,"Delta","database","baja","success"
20.36,7.19,159,2,52.93,28.98,"Gamma","auth","baja","failed"
7.8,4.69,145,1,78.27,17.07,"Beta","database","baja","success"
11.71,10.18,146,0,80.11,14.04,"Delta","database","crítica","success"
6.62,6.12,152,0,65.7,3.67,"Gamma","database","baja","success"
4.06,13.47,165,4,74.07,2.15,"Alpha","ui","baja","success"
8.77,14.76,155,0,61.03,29.79,"Alpha","database","alta","success"
7.02,50.01,157,3,63.61,10.13,"Delta","analytics","baja","success"
12.02,24.62,145,0,62.81,6.93,"Delta","ui","baja","success"
15.07,45.08,172,2,69.55,21.17,"Delta","ui","media","success"
21.94,12.86,169,5,69.74,4.32,"Delta","auth","media","failed"
14.2,11.98,142,2,90.67,6.47,"Gamma","analytics","media","success"
13.12,26.36,159,4,90.75,0.67,"Delta","auth","baja","success"
8.2,4.03,135,0,76.77,3.53,"Gamma","api","media","failed"
10.24,21.05,146,2,90.35,9.15,"Gamma","analytics","baja","rolled_back"
15.46,24.02,134,3,58.35,2.7,"Delta","analytics","baja","success"
2.11,12.25,139,1,80.49,5.57,"Beta","auth","crítica","success"
12.27,5.98,155,4,48.02,14.41,"Gamma","ui","baja","success"
13.89,18.2,157,0,61.07,7.48,"Beta","ui","baja","success"
24.51,32.63,156,0,69.03,11.31,"Beta","analytics","media","success"
16.91,10.49,156,2,83.52,24.24,"Delta","auth","alta","failed"
10.44,22.4,168,0,86.71,16.02,"Delta","analytics","media","rolled_back"
4.45,23.63,171,1,79.65,7.43,"Delta","auth","alta","success"
8.51,27.19,138,5,90.71,22.47,"Beta","api","baja","success"
24.29,2.91,159,0,97.27,11.6,"Gamma","api","baja","success"
24.8,9.25,166,2,71.94,1.25,"Alpha","auth","alta","success"
26.2,46.88,163,2,96.2,0.47,"Gamma","database","baja","success"
4.55,2.41,160,1,60.03,34.94,"Delta","api","baja","success"
12.34,17.5,148,0,99.4,19.35,"Delta","ui","baja","success"
16.52,12.2,125,2,86.43,49,"Alpha","analytics","baja","success"
5.92,56.62,166,1,61.41,6.22,"Beta","auth","media","success"
15.08,31.09,163,2,77.44,6.54,"Alpha","database","baja","failed"
17.18,11.19,167,5,99.55,3.56,"Beta","ui","media","success"
15.69,27.36,128,1,59.11,8.76,"Gamma","analytics","alta","success"
18.08,31.71,156,4,81.67,14.07,"Delta","ui","baja","rolled_back"
10.7,8.38,143,1,68.65,9.63,"Beta","analytics","media","failed"
17.84,28.01,149,2,55.18,79.54,"Delta","auth","media","success"
5.92,11.19,152,6,85.58,20.22,"Beta","analytics","baja","success"
9.42,12.38,175,3,59.39,28.17,"Alpha","api","media","failed"
16.23,27.88,146,4,95.5,21.64,"Gamma","ui","alta","failed"
8.11,7.79,137,4,55.65,1.36,"Delta","analytics","media","failed"
5.4,15.86,140,2,45.46,3.61,"Beta","database","alta","success"
10.84,14.79,154,0,81.73,14.48,"Alpha","database","alta","success"
15.41,14.37,144,4,73.4,28.91,"Alpha","auth","alta","failed"
13.42,17.52,157,2,82.3,8.94,"Gamma","auth","crítica","success"
8.17,5.02,152,2,87.28,11.3,"Delta","database","baja","success"
4.7,4.32,156,2,75.09,10.21,"Delta","ui","alta","success"
8.15,8.43,167,3,82.41,23.44,"Gamma","analytics","alta","success"
8.39,14.55,166,3,79.98,3.23,"Beta","api","baja","success"
29.42,2.96,142,3,72.87,52.32,"Gamma","ui","baja","rolled_back"
12.74,41.42,167,0,61.1,54.02,"Gamma","ui","baja","failed"
5.55,1.14,127,4,64.74,10.76,"Alpha","auth","media","failed"
27.16,5.63,159,1,73.68,47.17,"Alpha","analytics","media","success"
19.61,8.13,149,1,61.01,12.81,"Alpha","api","media","success"
27.75,13.62,155,2,68.65,52.65,"Delta","database","alta","success"
9.2,34.15,173,1,79.71,41.3,"Gamma","auth","media","success"
3.65,9.93,156,2,66.6,2.54,"Beta","analytics","alta","success"
10.65,3.83,145,3,80.66,1.76,"Delta","api","crítica","success"
12.45,15.75,152,2,71.8,16.3,"Delta","analytics","media","failed"
5.41,11.04,167,2,82.46,33.76,"Gamma","api","alta","success"
19.39,2.18,138,0,100,91.72,"Delta","analytics","alta","success"
3.5,14.32,125,0,96.45,12.09,"Alpha","api","crítica","success"
3.82,14.99,168,0,68.18,6.15,"Gamma","analytics","alta","failed"
11.83,20.23,144,1,85.82,22.58,"Gamma","database","media","success"
26.54,20.02,153,3,77.38,21.8,"Gamma","auth","baja","success"
5.42,6.61,161,2,58.88,33.46,"Alpha","analytics","alta","rolled_back"
6.86,12.88,163,3,75.33,17.39,"Beta","api","baja","success"
9.49,45.45,172,1,71.8,12.03,"Delta","auth","crítica","success"
17.91,9.61,148,1,70.84,1.6,"Beta","ui","baja","failed"
10.6,8.41,167,1,61.7,7.16,"Beta","auth","alta","failed"
1.73,15.98,146,1,69.05,139.02,"Gamma","ui","crítica","success"
5.08,18.16,150,2,68.29,33.74,"Alpha","analytics","alta","success"
25.48,8.95,149,1,64.36,29.45,"Gamma","database","crítica","success"
26.29,17.77,154,1,81.16,18,"Delta","ui","media","success"
11.96,3.55,139,1,89.5,13.4,"Gamma","database","media","success"
12.21,32.71,145,0,82.95,11.45,"Alpha","api","baja","success"
0.71,93.41,165,0,68.96,23.69,"Beta","database","crítica","success"
16.44,63.17,140,1,89.48,20.37,"Delta","api","alta","success"
33.63,22.17,139,2,72.94,17.39,"Gamma","ui","baja","success"
15.93,9.38,139,2,82.06,3.86,"Gamma","api","baja","failed"
2.36,29.58,139,0,64.17,1.25,"Delta","api","media","success"
8.66,10.68,145,0,71.18,10.25,"Alpha","ui","media","success"
29.33,24.76,135,0,75.03,16.28,"Beta","ui","media","success"
2.97,14.32,141,4,70.19,1.04,"Beta","api","baja","success"
5.99,2.9,152,1,57.44,6.86,"Delta","database","media","success"
13.86,3.36,146,2,78.4,83.09,"Beta","api","crítica","failed"
6.1,32.09,147,2,81.64,16.25,"Gamma","api","alta","success"
19.61,22.05,164,2,60.99,32.22,"Alpha","auth","alta","success"
3.96,25.69,144,2,77.53,19.44,"Alpha","auth","crítica","success"
8.41,11.67,145,1,51.1,22.03,"Alpha","ui","crítica","success"
14.93,24.2,144,1,68.4,16.57,"Alpha","ui","media","failed"
13.06,21.78,132,4,73.68,3.08,"Alpha","ui","alta","success"
15.08,9.11,153,2,78.57,5.41,"Alpha","auth","baja","success"
12.8,3.78,146,4,73.35,28.74,"Beta","ui","alta","success"
16.97,9.63,155,3,74.41,65.6,"Beta","api","baja","success"
13.73,38.42,143,0,75.95,8.74,"Gamma","api","crítica","failed"
18.78,27.44,170,3,80.38,3.21,"Alpha","auth","media","success"
14.16,22.73,158,4,75.94,1.65,"Beta","analytics","baja","success"
24.72,35.51,141,1,78.67,28.65,"Gamma","auth","crítica","success"
12.03,29.4,182,2,70.55,11.6,"Delta","database","baja","failed"
15.55,11.41,145,3,97.33,43.14,"Alpha","database","baja","success"
14.09,28.25,145,2,82.94,16.37,"Gamma","ui","alta","failed"
14.68,10.96,161,0,93.88,34.74,"Delta","database","media","success"
11.05,32.43,144,2,78.78,5.88,"Delta","auth","baja","success"
6.78,13.57,173,3,66.51,2.3,"Beta","database","baja","success"
14.88,14.35,150,2,80.09,28.36,"Alpha","auth","baja","success"
15.7,17.91,144,2,93.44,11.56,"Delta","database","alta","success"
12.27,23.34,186,1,81.01,2.11,"Delta","database","alta","success"
8.06,19.26,172,1,81.88,5.5,"Beta","ui","alta","rolled_back"
2.56,30.5,151,1,89.12,31.06,"Gamma","analytics","media","success"
10.09,9.46,151,1,73.35,4.59,"Beta","analytics","media","failed"
44.74,21.61,150,3,73.52,9.8,"Delta","api","baja","success"
24.38,15.74,155,2,54.9,29.78,"Delta","analytics","crítica","success"
13.32,11.35,145,2,80.48,47.02,"Gamma","auth","alta","success"
32.08,49.79,139,1,92.05,3.53,"Alpha","api","crítica","success"
39.36,31.71,164,1,67.93,7.63,"Alpha","auth","baja","success"
39.95,45.59,133,0,63.52,65.99,"Beta","auth","media","success"
17.46,14.87,148,3,93.69,22.8,"Alpha","api","media","success"
4.18,82.11,153,5,95.73,8.22,"Gamma","auth","media","success"
34.82,7.11,141,3,71.4,3.97,"Delta","api","baja","success"
4.14,11.08,157,2,78.63,14.6,"Gamma","analytics","baja","success"
5.86,16.16,163,3,90.46,21.45,"Delta","api","baja","success"
7.35,25.35,134,5,86.71,1.44,"Gamma","database","alta","success"
8.71,21.01,152,0,60.76,36.1,"Gamma","database","media","success"
20.76,18.57,154,3,62.09,75.85,"Gamma","auth","alta","failed"
6.07,26.21,171,1,58.91,39.92,"Gamma","api","baja","success"
5.56,13.1,145,2,88.13,77.56,"Beta","analytics","alta","failed"
19.04,1.79,141,4,82.19,170.22,"Delta","ui","baja","failed"
11.21,27.4,172,4,92.54,0.37,"Alpha","analytics","crítica","success"
13.81,15.74,141,2,87.98,51.17,"Gamma","ui","media","rolled_back"
4.64,63.84,137,2,55.64,13.08,"Alpha","api","baja","success"
8.94,37.93,151,3,52.4,19.58,"Delta","analytics","crítica","success"
16.52,30.05,168,2,76.92,2.32,"Beta","api","alta","success"
21.18,60.65,152,3,50.85,14.5,"Gamma","database","alta","success"
9.21,24.25,134,1,76.34,8.8,"Gamma","auth","baja","failed"
18.27,31.4,113,2,52.93,0.49,"Alpha","api","baja","failed"
8.47,22.42,142,3,80.32,0.73,"Alpha","database","baja","success"
11.15,7.2,161,0,52.03,27.37,"Beta","analytics","alta","success"
25.91,24.21,146,2,79.41,0.32,"Gamma","analytics","baja","success"
26.13,8.29,147,0,87.72,6.05,"Gamma","auth","media","failed"
21.93,19.6,167,1,81.64,28.13,"Delta","analytics","alta","success"
18.5,14.82,149,1,82.47,12.1,"Gamma","api","alta","success"
9.01,9.3,157,1,62.14,5.77,"Gamma","ui","baja","success"
7.3,15.89,144,2,80.62,19.88,"Gamma","analytics","baja","success"
3.67,15.98,145,3,72.02,19.7,"Beta","auth","alta","success"
17.32,20.2,122,0,71.4,0.01,"Delta","ui","media","rolled_back"
3.14,7.38,157,5,70.05,25.26,"Alpha","ui","media","success"
8.77,10.53,155,4,88.57,0.2,"Gamma","ui","baja","success"
21.83,13.42,148,1,78.27,27.39,"Gamma","api","media","success"
13.03,19.35,152,3,86.81,19.23,"Gamma","api","baja","success"
23.54,9.12,137,4,63.97,57.24,"Alpha","analytics","media","success"
17.43,27.13,164,3,86.04,47.89,"Beta","analytics","alta","success"
26.93,8.41,142,1,71.71,5.17,"Gamma","ui","baja","success"
12.49,89.83,132,2,74.85,18.82,"Gamma","ui","alta","success"
24.22,13.71,158,1,70.14,6.53,"Alpha","database","media","success"
18.72,41.73,170,1,58.79,6.76,"Gamma","auth","alta","success"
3.5,15.04,139,1,74.01,56.39,"Delta","ui","media","success"
15.9,16.61,154,3,75.45,41.46,"Gamma","database","baja","success"
17.76,32.78,132,1,77.38,21.02,"Beta","api","alta","success"
3.79,38.01,137,1,85.82,28.18,"Delta","api","media","success"
29.47,64.51,145,4,81.44,7.11,"Alpha","api","media","success"
5.45,22.87,136,1,97.04,2.24,"Delta","api","media","failed"
18.93,15.68,136,1,83.81,22.99,"Beta","database","baja","success"
7.71,10.07,148,0,56.73,19.39,"Beta","auth","baja","success"
11.13,3.88,162,1,63.32,33.98,"Alpha","ui","baja","success"
11.92,8.99,181,0,71.76,104.08,"Gamma","auth","media","success"
28.11,32,159,2,96.76,9.01,"Delta","auth","media","success"
8.31,30.24,149,1,67.57,0.97,"Alpha","api","baja","failed"
5.55,20.02,157,2,100,28.77,"Gamma","analytics","baja","success"
14.78,7.72,148,3,100,4.62,"Beta","database","baja","success"
5.79,2.22,166,3,77.38,39.68,"Beta","auth","baja","success"
16.09,4.72,152,4,61.38,9.43,"Alpha","database","baja","success"
18.64,19.59,156,3,84.72,13.36,"Alpha","api","baja","success"
31.71,4,172,4,72.7,4.33,"Delta","database","media","failed"
8.53,25.32,152,3,77.54,9.49,"Gamma","analytics","baja","success"
16.9,4.9,130,4,66.79,38.43,"Gamma","analytics","baja","success"
21.01,19.81,156,1,68.99,33.57,"Gamma","auth","baja","success"
17.3,1.05,179,1,57.48,24.63,"Delta","auth","baja","success"
14.22,3.48,165,1,87.62,10.86,"Delta","analytics","baja","success"
27.36,11.94,147,0,71.01,15.26,"Alpha","analytics","baja","success"
9.31,20.82,166,0,52.53,42.29,"Alpha","analytics","crítica","rolled_back"
23.43,7.11,139,3,73.88,19.1,"Gamma","auth","media","success"
3.17,7.72,146,1,65.44,46.34,"Beta","analytics","baja","success"
21.17,3.51,141,1,99.53,9.8,"Beta","auth","crítica","success"
10.2,28.66,147,3,82.65,4.28,"Alpha","analytics","media","failed"
10.77,37.6,150,3,61.34,20.5,"Delta","analytics","alta","success"
2.04,12.67,154,3,42.4,22.31,"Beta","ui","alta","success"
7.9,8.48,160,2,78.83,20.46,"Alpha","ui","baja","failed"
32.08,30,145,2,79.26,12.2,"Delta","ui","media","success"
18.47,21.13,147,1,70.71,0.12,"Alpha","analytics","media","success"
24.02,21.49,152,1,81.09,16.49,"Gamma","api","media","success"
10.4,8.94,147,5,59.16,3.49,"Beta","analytics","media","success"
22.89,29.99,155,1,75.31,2.1,"Alpha","ui","alta","success"
25.51,3.67,144,1,61.46,110.67,"Beta","analytics","media","success"
6.88,7.52,136,0,62.34,0.31,"Gamma","api","alta","failed"
10.77,15.68,148,2,64.83,1.24,"Gamma","ui","crítica","success"
29.41,19.96,129,3,97.15,6.85,"Gamma","ui","crítica","success"
5.9,13.09,170,0,57.9,13.23,"Delta","auth","media","success"
18.69,13.13,170,5,69.74,18.77,"Delta","api","baja","success"
11.37,8.49,141,2,57.2,1.45,"Delta","analytics","baja","success"
11.52,65.23,160,2,75.43,8.95,"Beta","api","media","success"
22.14,14.98,163,4,71.19,10.68,"Alpha","api","alta","success"
20.73,23.98,142,6,79.97,14.85,"Alpha","ui","media","success"
16.63,27.38,154,2,64.83,25.54,"Beta","api","baja","failed"
9.54,20.49,131,1,65.16,0.38,"Delta","database","crítica","failed"
13.12,3.93,137,1,69.43,4.54,"Beta","auth","baja","success"
16.34,22.09,164,1,80.71,4.86,"Alpha","ui","baja","success"
4.12,65.55,125,1,76.69,1.99,"Beta","database","alta","success"
17.97,21.42,153,0,58.87,19.55,"Beta","auth","baja","success"
16.71,10.23,157,4,58.09,53.43,"Alpha","api","baja","failed"
13.07,7.25,137,3,53.68,25.23,"Alpha","database","baja","success"
21.35,5.67,156,3,83.29,11.21,"Delta","database","baja","success"
15.07,15.94,147,1,50.44,8.32,"Delta","auth","baja","success"
11.42,2.19,145,1,83.69,92.73,"Beta","ui","baja","success"
2.55,17.03,138,0,70.98,52.58,"Beta","auth","crítica","success"
20.56,4.45,148,1,78.9,6.54,"Delta","database","media","success"
14.22,13.47,182,1,53.36,3.32,"Gamma","api","alta","success"
8.93,22.67,142,3,92.41,6.75,"Alpha","ui","alta","success"
6.19,7.4,154,1,98.65,1.33,"Alpha","analytics","media","success"
14.79,4.97,161,3,69.61,1.67,"Alpha","analytics","baja","success"
21.38,15.83,145,10,92.66,14.11,"Delta","analytics","baja","success"
5.13,31.55,163,0,74.05,20.23,"Gamma","analytics","baja","success"
6.3,9.78,160,2,62.7,9.42,"Delta","auth","alta","success"
7.04,29.3,143,3,72.44,6.22,"Delta","ui","baja","success"
15.72,12.05,163,1,90.13,16.75,"Delta","ui","crítica","success"
19.03,5.89,140,2,71.31,14.98,"Delta","api","media","success"
17.8,3.8,166,3,89.79,39.04,"Alpha","database","crítica","success"
8.26,47.98,158,2,51.36,4.47,"Alpha","ui","media","success"
7.74,21.48,155,3,78.7,0.97,"Delta","database","baja","success"
20.84,2,154,2,97.09,2.36,"Delta","auth","media","success"
42.05,13.04,172,3,81.87,11.79,"Beta","auth","alta","success"
28.2,16.86,146,3,80.24,19.03,"Alpha","auth","alta","success"
9.17,35.34,156,2,86.39,3.94,"Beta","api","alta","success"
18.92,24.24,133,4,76.4,6.39,"Gamma","database","baja","success"
27.73,23.48,141,1,54.39,11.92,"Alpha","database","crítica","success"
22.38,26.31,164,1,71.67,6.61,"Gamma","api","media","success"
37.11,17.38,146,2,88.36,147.4,"Delta","database","alta","failed"
9.36,9.39,136,1,83.27,2.66,"Beta","api","baja","success"
3.04,26.19,122,3,61.84,22.42,"Delta","auth","media","success"
10.79,19.4,148,4,69.23,23.53,"Delta","database","media","success"
7.2,55.2,153,4,81.07,76.41,"Gamma","analytics","baja","success"
10.44,13.43,152,4,56.45,2.3,"Beta","auth","media","success"
19.09,23.01,140,3,58.82,13.86,"Delta","database","baja","success"
6.2,57.76,139,2,71.53,15.19,"Alpha","ui","media","success"
15.18,7.05,141,2,74.69,77.68,"Alpha","database","alta","success"
8.78,9.88,145,1,78.56,12.62,"Gamma","database","media","success"
15.29,15.27,137,3,76.91,3.05,"Beta","analytics","baja","failed"
10.41,34.08,143,1,51.98,3.86,"Delta","database","alta","success"
